feature,weight
bert_2,-1.5254285469124247
bert_42,11.986515781394036
bert_45,-15.468281216301358
Avg_ monthly searches,2.9482023843247004e-05
bert_4,-2.377150940077517
bert_24,5.289609571371278
bert_40,-12.86825389942755
bert_6,2.1278902967514837
bert_25,5.30465503123913
bert_43,10.347931971850299
bert_39,-9.66878376070122
bert_10,-3.121942231133755
bert_28,11.46496174173131
bert_41,-11.956041592982482
bert_18,5.415510040774902
Avg_ CPC,0.1666296777262523
Competition (indexed value),-0.04153781592431564
bert_17,8.330002949270927
bert_3,-1.767140626296201
month,-0.04043294082101858
bert_36,8.593172179533234
bert_44,12.886832165040436
